street,left_from,left_to,right_from,right_to,zip_left,zip_right
Jaques St,22,52,21,57,02145,02145
Derby St,14,98,7,99,02145,02145
Broadway,302,340,nan,nan,02145,nan
Mystic Ave,436,498,nan,nan,02145,nan
Governor Winthrop Rd,66,198,65,199,02145,02145
Ten Hills Rd,2,24,nan,nan,02145,nan
Bailey Rd,2,72,1,73,02145,02145
Governor Winthrop Rd,2,64,1,63,02145,02145
Grant St,20,40,21,33,02145,02145
Sewall St,2,22,1,27,02145,02145
Sewall St,24,98,29,99,02145,02145
Marshall St,2,28,1,23,02145,02145
Oakland Ave,99,1,98,2,02145,02145
Bradford Ave,2,98,1,99,02145,02145
Wheatland St,2,34,1,33,02145,02145
Broadway,nan,nan,267,277,nan,02145
Grant St,2,18,1,19,02145,02145
Jaques St,12,20,11,19,02145,02145
Sewall Ct,2,98,1,99,02145,02145
Grant St,68,82,67,77,02145,02145
Sydney St,44,98,39,99,02145,02145
Sydney St,2,42,1,37,02145,02145
Mystic Ave,416,434,nan,nan,02145,nan
Mystic Ave,362,398,nan,nan,02145,nan
Derby St,2,12,1,5,02145,02145
Dane Ave,11,1,nan,nan,02143,nan
Broadway,519,501,nan,nan,02145,nan
Warner St,36,38,33,37,02144,02144
Broadway,718,734,727,739,02144,02144
Broadway,736,746,741,759,02144,02144
Bristol Rd,199,101,198,102,02144,02144
Lowden Ave,2,30,1,31,02144,02144
Willow Ave,252,298,249,299,02144,02144
Mallet St,2,10,1,99,02144,02144
Broadway,660,672,nan,nan,02144,nan
Broadway,674,696,nan,nan,02144,nan
Broadway,698,716,691,725,02144,02144
Josephine Ave,68,198,65,199,02144,02144
Willow Ave,210,250,203,247,02144,02144
Rogers Ave,54,198,53,199,02144,02144
Ball Sq,1,99,nan,nan,02144,nan
Cedar St,226,228,nan,nan,02145,nan
Cedar St,200,224,201,221,02145,02145
Morrison Ave,2,10,1,11,02144,02144
Boston Ave,2,52,1,53,02144,02144
Boston Ave,54,98,55,99,02144,02144
Boston Ave,100,118,101,119,02144,02144
Boston Ave,120,138,121,139,02144,02144
Boston Ave,140,198,141,199,02144,02144
Boston Ave,nan,nan,501,599,nan,02144
Broadway,nan,nan,643,689,nan,02145
Rogers Ave,2,52,1,51,02144,02144
Highland Rd,72,198,73,199,02144,02144
Highland Rd,12,70,15,71,02144,02144
Cedar St,nan,nan,157,179,nan,02145
Morrison Ave,42,54,41,53,02144,02144
Morrison Ave,28,40,25,39,02144,02144
Morrison Ave,12,26,13,23,02144,02144
Cedar St,134,160,131,155,02144,02144
Lexington Ave,2,58,1,57,02144,02144
Hancock St,112,198,113,199,02144,02144
Hancock St,74,110,95,111,02144,02144
Cedar St,122,132,121,129,02144,02144
Spencer Ave,2,98,1,99,02144,02144
Kidder Ave,100,198,nan,nan,02144,nan
Pearson Ave,2,60,1,59,02144,02144
Lowell St,nan,nan,259,267,nan,02144
Princeton St,2,98,1,99,02144,02144
Alpine St,2,56,1,55,02144,02144
Warwick St,2,56,1,99,02145,02145
Clyde St,40,98,41,99,02145,02145
Murdock St,2,12,1,15,02145,02145
Cedar St,100,120,101,119,02144,02144
Highland Ave,290,296,287,299,02144,02144
Highland Ave,298,310,301,309,02144,02144
Cherry St,68,98,65,99,02144,02144
Fairlee St,2,98,1,99,02144,02144
Highland Ave,312,322,311,321,02144,02144
Albion St,92,100,87,99,02144,02144
Lowell St,200,224,201,227,02144,02144
Hudson St,94,132,91,131,02144,02144
Albion Ct,1,99,198,2,02144,02144
Albion St,118,124,121,133,02144,02144
Albion St,102,116,101,119,02144,02144
Albion Ter,2,198,1,99,02144,02144
Lowell St,226,240,229,233,02144,02144
Albion Pl,2,98,1,199,02144,02144
Alpine St,72,198,73,199,02144,02144
Prichard Ave,2,56,1,55,02144,02144
Wilson Ave,2,98,1,99,02145,02145
Broadway,600,658,601,641,02145,02145
Pearson Ave,62,198,61,199,02144,02144
Prichard Ave,58,98,57,99,02144,02144
Broadway,nan,nan,565,579,nan,02145
Broadway,552,598,581,599,02145,02145
Cedar St,284,298,nan,nan,02145,nan
Cedar St,272,282,nan,nan,02145,nan
Clyde St,2,38,1,39,02145,02145
Central St,126,136,125,133,02145,02145
Curtis St,158,166,nan,nan,02144,nan
Curtis St,122,138,131,139,02144,02144
Vernon St,nan,nan,1,23,nan,02145
Curtis St,168,198,nan,nan,02144,nan
Powder House Blvd,2,56,nan,nan,02144,nan
Powder House Blvd,58,68,nan,nan,02144,nan
Powder House Blvd,70,84,nan,nan,02144,nan
Powder House Blvd,86,122,1,57,02144,02144
Powder House Blvd,nan,nan,61,99,nan,02144
Packard Ave,86,92,nan,nan,02144,nan
Packard Ave,nan,nan,77,99,nan,02144
College Ave,nan,nan,298,200,nan,02144
Holland St,nan,nan,40,2,nan,02144
Broadway,nan,nan,259,265,nan,02145
Pearl St,188,196,189,195,02145,02145
Pearl St,180,186,183,187,02145,02145
Wesley St,2,98,1,99,02145,02145
Dana St,2,40,1,37,02145,02145
McGrath Hwy,nan,nan,583,599,nan,02145
McGrath Hwy,nan,nan,563,581,nan,02145
Walnut St,74,98,71,99,02143,02143
Grand View Ave,2,98,1,99,02143,02143
Walnut St,60,72,59,69,02143,02143
Pleasant Ave,2,98,1,99,02143,02143
Highland Ave,2,16,1,19,02143,02143
Highland Ave,18,26,21,77,02143,02143
Medford St,nan,nan,201,299,nan,02143
Hamlet St,26,98,25,99,02143,02143
Boston St,70,98,71,99,02143,02143
Walnut St,50,58,53,57,02143,02143
Thorpe St,99,1,98,2,02143,02143
Boston St,66,68,67,69,02143,02143
Bigelow St,2,98,1,99,02143,02143
McGrath Hwy,nan,nan,401,499,nan,02143
Cross St,138,198,nan,nan,02145,nan
Chester Ave,1,99,10,16,02143,02143
Chester Ave,18,98,nan,nan,02143,nan
Chester Ave,2,8,nan,nan,02143,nan
Cross St,nan,nan,143,199,nan,02145
Boston St,56,64,57,65,02143,02143
Greenville St,26,98,31,99,02143,02143
Washington St,188,198,181,199,02143,02143
Washington St,200,218,201,205,02143,02143
Washington Ter,2,98,299,1,02143,02143
Washington St,nan,nan,207,239,nan,02143
Columbus Ave,2,26,1,27,02143,02143
Columbus Ave,28,48,29,51,02143,02143
Munroe St,2,60,1,35,02143,02143
Boston St,2,22,1,19,02143,02143
Bonner Ave,14,98,1,99,02143,02143
Homer Sq,1,99,2,98,02143,02143
Stone Pl,98,2,99,1,02143,02143
Prospect Hill Ave,12,98,11,99,02143,02143
Boston St,36,54,35,55,02143,02143
Bonner Ave,2,12,nan,nan,02143,nan
Bennett Ct,1,99,2,98,02143,02143
