address,street,num,school,range_low,range_high,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"26 Cambria Street, Somerville MA","Cambria Street",26,"WINTER HILL",1,99,42.387621,-71.105516,1,rooftop,"26 Cambria St",,"Somerville, MA 02143",,26,"Cambria St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnc4dzzh4lvpnbdcxrle7kymp753,building_centroid
"50 Cambria Street, Somerville MA","Cambria Street",50,"WINTER HILL",1,99,42.387788,-71.105028,1,range_interpolation,"50 Cambria St",,"Somerville, MA 02143",,50,"Cambria St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnc4dzzh4lvpnbdhwmp7ef4657df,
"74 Cambria Street, Somerville MA","Cambria Street",74,"WINTER HILL",1,99,42.387935,-71.105457,1,range_interpolation,"74 Cambria St",,"Somerville, MA 02143",,74,"Cambria St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnc4dzzh4lvpnbd3lp28pd5qnau7,
"99 Cambria Street, Somerville MA","Cambria Street",99,"WINTER HILL",1,99,42.387976,-71.105553,0.84,nearest_rooftop_match,"35 Cambria St",,"Somerville, MA 02143",,35,"Cambria St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnc4dzzh4lvpnbdzhaee4h83qex3,building_centroid
"1 Central Road, Somerville MA","Central Road",1,"WINTER HILL",1,99,42.388746,-71.102499,0.89,nearest_rooftop_match,"15 Central Rd",,"Somerville, MA 02143",,15,"Central Rd",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usngwlh4bgdlkmpgdm9zuwskf667e,building_centroid
"26 Central Road, Somerville MA","Central Road",26,"WINTER HILL",1,99,42.389227,-71.10218,1,range_interpolation,"26 Central Rd",,"Somerville, MA 02143",,26,"Central Rd",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usngwlh4bgdlkmpgymjc4azwyug29,
"50 Central Road, Somerville MA","Central Road",50,"WINTER HILL",1,99,42.388903,-71.102043,1,range_interpolation,"50 Central Rd",,"Somerville, MA 02143",,50,"Central Rd",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usngwlh4bgdlkmpgcfzswe5hk2tn5,
"74 Central Road, Somerville MA","Central Road",74,"WINTER HILL",1,99,42.388837,-71.101839,1,range_interpolation,"74 Central Rd",,"Somerville, MA 02143",,74,"Central Rd",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usngwlh4bgdlkmpggq9gm58bpsyu3,
"99 Central Road, Somerville MA","Central Road",99,"WINTER HILL",1,99,42.389325,-71.102541,0.95,rooftop,"99 Central St",,"Somerville, MA 02143",,99,"Central St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnugj7n9ua5q7j8wcvkw54egu774,building_centroid
"1 Charles E Ryan Road, Somerville MA","Charles E Ryan Road",1,"WINTER HILL",1,99,42.397433,-71.105678,0.89,nearest_rooftop_match,"8 Charles E Ryan Rd",,"Somerville, MA 02145",,8,"Charles E Ryan Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnbl737dwkq9e5b6uzrduyrasw5f,building_centroid
