"Topic","Description","Year","Value","Units","Geography"
"Poverty","Population for whom poverty status is determined","2016","11.4","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2017","12.4","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2017","11.1","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2018","11.9","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2018","10.8","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2019","11.5","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2019","10.3","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2020","11.3","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2020","9.8","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2021","10.4","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2021","9.9","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2022","10.2","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2022","9.9","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2023","10.1","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2023","10","Percent","Massachusetts"
"Poverty","Population for whom poverty status is determined","2024","9.8","Percent","Somerville"
"Poverty","Population for whom poverty status is determined","2024","10","Percent","Massachusetts"
"Household Size Owners vs Renters","All occupied housing units","2010","2.26","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2010","2.32","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2010","2.23","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2011","2.29","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2011","2.34","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2011","2.27","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2012","2.32","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2012","2.42","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2012","2.28","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2013","2.34","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2013","2.46","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2013","2.28","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2014","2.35","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2014","2.49","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2014","2.27","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2015","2.35","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2015","2.51","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2015","2.27","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2016","2.38","People","Somerville"
"Household Size Owners vs Renters","Owner occupied","2016","2.52","People","Somerville"
"Household Size Owners vs Renters","Renter occupied","2016","2.3","People","Somerville"
"Household Size Owners vs Renters","All occupied housing units","2017","2.37","People","Somerville"
