address,street,num,school,range_low,range_high,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio Address Line 4,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State / Province,Geocodio Nation,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Building Name,Geocodio Source,Geocodio Stable Address Key,Geocodio Match Type
"67 Cross Street, Somerville MA",Cross Street,67,EAST SOMERVILLE,1,199,42.385469,-71.087815,1,range_interpolation,67 Cross St,,"Somerville, MA 02145",,67,Cross St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn8sjgwmlhfy4xb3hsnzftpnt9j5,
"100 Cross Street, Somerville MA",Cross Street,100,EAST SOMERVILLE,1,199,42.384566,-71.088511,1,rooftop,100 Cross St,,"Somerville, MA 02145",,100,Cross St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8sjgwmlhfy4xbhgb6j2yqnfh3h,building_centroid
"133 Cross Street, Somerville MA",Cross Street,133,EAST SOMERVILLE,1,199,42.383465,-71.089951,1,rooftop,133 Cross St,,"Somerville, MA 02145",,133,Cross St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8sjgwmlhfy4xb82x3srt9sxpzb,building_centroid
"166 Cross Street, Somerville MA",Cross Street,166,EAST SOMERVILLE,1,199,42.382649,-71.090302,1,range_interpolation,166 Cross St,,"Somerville, MA 02145",,166,Cross St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn8sjgwmlhfy4xb94enktdyrwasb,
"1 Cross Street Place, Somerville MA",Cross Street Place,1,EAST SOMERVILLE,1,99,42.388281,-71.086674,0.91,nearest_rooftop_match,5 Cross Street Pl,,"Somerville, MA 02145",,5,Cross Street Pl,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3ehmjmxuxgc83dybzbes38v6v7,building_centroid
"26 Cross Street Place, Somerville MA",Cross Street Place,26,EAST SOMERVILLE,1,99,42.388249,-71.086416,1,range_interpolation,26 Cross Street Pl,,"Somerville, MA 02145",,26,Cross Street Pl,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn3ehmjmxuxgc83z3nv2fhr8p2pc,
"50 Cross Street Place, Somerville MA",Cross Street Place,50,EAST SOMERVILLE,1,99,42.388301,-71.086543,1,range_interpolation,50 Cross Street Pl,,"Somerville, MA 02145",,50,Cross Street Pl,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn3ehmjmxuxgc83npjrc7vmzemse,
"74 Cross Street Place, Somerville MA",Cross Street Place,74,EAST SOMERVILLE,1,99,42.388352,-71.08667,1,range_interpolation,74 Cross Street Pl,,"Somerville, MA 02145",,74,Cross Street Pl,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn3ehmjmxuxgc83k44egjrkr3nw7,
"1 Cutter Street, Somerville MA",Cutter Street,1,EAST SOMERVILLE,1,99,42.387086,-71.083894,0.89,nearest_rooftop_match,11 Cutter St,,"Somerville, MA 02145",,11,Cutter St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzzy72k7dyhgs9qbm8jff9ad7y9,building_centroid
"50 Cutter Street, Somerville MA",Cutter Street,50,EAST SOMERVILLE,1,99,42.386129,-71.08445,1,range_interpolation,50 Cutter St,,"Somerville, MA 02145",,50,Cutter St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnzzy72k7dyhgs9awhatxfy3qqae,
