address,street,num,lat,lon,zone_k5_assigned,school_k5_assigned,walk_min_to_assigned,straight_line_to_assigned_mi,closest_school_by_straight_line,closest_straight_line_mi,margin_mi,is_mismatch,is_high_confidence_mismatch,dist_to_Brown_mi,dist_to_Kennedy_mi,dist_to_WestSomerville_mi,dist_to_WinterHill_mi,dist_to_Healey_mi,dist_to_Argenziano_mi,dist_to_EastSomerville_mi,dest_6_8_assigned,dest_6_8_closest_candidate,dest_6_8_closest_mi,dest_6_8_margin_mi,dest_6_8_is_mismatch
"167 Cedar Street, Somerville MA 02144",Cedar Street,167,42.394684,-71.110786,Brown,Brown,9,0.2445,Brown,0.2445,0.0,False,False,0.2445,0.4386,1.1267,0.6463,0.8113,1.2458,1.3731,West Somerville,Kennedy,0.4386,0.6881,True
"182 Cedar Street, Somerville MA 02144",Cedar Street,182,42.394789,-71.110773,Brown,Brown,9,0.2396,Brown,0.2396,0.0,False,False,0.2396,0.445,1.1221,0.6481,0.8089,1.2517,1.3743,West Somerville,Kennedy,0.445,0.6771,True
"197 Cedar Street, Somerville MA 02144",Cedar Street,197,42.395054,-71.110167,Brown,Brown,10,0.2502,Brown,0.2502,0.0,False,False,0.2502,0.4775,1.1319,0.6256,0.7747,1.2529,1.3492,West Somerville,Kennedy,0.4775,0.6544,True
"212 Cedar Street, Somerville MA 02144",Cedar Street,212,42.395559,-71.110235,Brown,Brown,10,0.2272,Brown,0.2272,0.0,False,False,0.2272,0.5046,1.1059,0.6426,0.7711,1.2855,1.3624,West Somerville,Kennedy,0.5046,0.6013,True
"227 Cedar Street, Somerville MA 02144",Cedar Street,227,42.395941,-71.109922,Brown,Brown,11,0.2288,Brown,0.2288,0.0,False,False,0.2288,0.5354,1.1008,0.6399,0.7511,1.3018,1.3553,West Somerville,Kennedy,0.5354,0.5654,True
"242 Cedar Street, Somerville MA 02144",Cedar Street,242,42.396269,-71.109752,Brown,Brown,11,0.2287,Brown,0.2287,0.0,False,False,0.2287,0.5593,1.0931,0.6431,0.7395,1.3185,1.3544,West Somerville,Kennedy,0.5593,0.5338,True
"257 Cedar Street, Somerville MA 02144",Cedar Street,257,42.396772,-71.109336,Brown,Brown,12,0.2413,Brown,0.2413,0.0,False,False,0.2413,0.6,1.0887,0.6431,0.715,1.3412,1.3466,West Somerville,Kennedy,0.6,0.4887,True
"272 Cedar Street, Somerville MA 02144",Cedar Street,272,42.397477,-71.10886,Brown,Brown,11,0.2631,Brown,0.2631,0.0,False,False,0.2631,0.6542,1.0805,0.6518,0.6888,1.3765,1.3426,West Somerville,Winter Hill,0.6518,0.4287,True
"287 Cedar Street, Somerville MA 02144",Cedar Street,287,42.397973,-71.108511,Brown,Brown,11,0.2844,Brown,0.2844,0.0,False,False,0.2844,0.6927,1.0769,0.66,0.6717,1.4018,1.3404,West Somerville,Winter Hill,0.66,0.4169,True
"298 Cedar Street, Somerville MA 02144",Cedar Street,298,42.397096,-71.108745,Brown,Brown,12,0.269,Brown,0.269,0.0,False,False,0.269,0.635,1.1001,0.6312,0.6836,1.3499,1.3269,West Somerville,Winter Hill,0.6312,0.4689,True
"1 Clifton Street, Somerville MA 02145",Clifton Street,1,42.396975,-71.117426,Brown,Brown,6,0.1758,Brown,0.1758,0.0,False,False,0.1758,0.5331,0.7849,1.0189,1.1266,1.5662,1.742,Kennedy,Kennedy,0.5331,0.0,False
"14 Clifton Street, Somerville MA 02145",Clifton Street,14,42.396448,-71.117345,Brown,Brown,6,0.1801,Brown,0.1801,0.0,False,False,0.1801,0.4966,0.817,1.0025,1.1243,1.535,1.7279,Kennedy,Kennedy,0.4966,0.0,False
"2 Clyde Street, Somerville MA 02145",Clyde Street,2,42.395269,-71.110016,Brown,Brown,10,0.2475,Brown,0.2475,0.0,False,False,0.2475,0.494,1.1276,0.6242,0.764,1.2625,1.3459,Winter Hill,Kennedy,0.494,0.1302,True
"17 Clyde Street, Somerville MA 02145",Clyde Street,17,42.39468,-71.109506,Brown,Brown,11,0.2926,Brown,0.2926,0.0,False,False,0.2926,0.4775,1.1742,0.5848,0.7482,1.2144,1.3098,Winter Hill,Kennedy,0.4775,0.1073,True
"32 Clyde Street, Somerville MA 02145",Clyde Street,32,42.394864,-71.108801,Brown,Brown,11,0.3147,Brown,0.3147,0.0,False,False,0.3147,0.5107,1.1926,0.5562,0.7101,1.21,1.2786,Winter Hill,Kennedy,0.5107,0.0455,True
"47 Clyde Street, Somerville MA 02145",Clyde Street,47,42.394579,-71.108344,Brown,Brown,12,0.3449,Brown,0.3449,0.0,False,False,0.3449,0.5127,1.2231,0.5271,0.6932,1.1823,1.2508,Winter Hill,Kennedy,0.5127,0.0144,True
"56 Clyde Street, Somerville MA 02145",Clyde Street,56,42.394236,-71.107666,Brown,Brown,13,0.3869,Brown,0.3869,0.0,False,False,0.3869,0.5225,1.2648,0.4861,0.6679,1.1465,1.2112,Winter Hill,Winter Hill,0.4861,0.0,False
"1 College Avenue, Somerville MA 02144",College Avenue,1,42.396444,-71.121794,Brown,Brown,12,0.4016,Brown,0.4016,0.0,False,False,0.4016,0.5832,0.7128,1.219,1.3509,1.6852,1.9475,West Somerville,Kennedy,0.5832,0.1296,True
"16 College Avenue, Somerville MA 02144",College Avenue,16,42.396865,-71.121886,Brown,Brown,13,0.403,Brown,0.403,0.0,False,False,0.403,0.6102,0.6838,1.2317,1.3543,1.7093,1.9592,West Somerville,Kennedy,0.6102,0.0736,True
"31 College Avenue, Somerville MA 02144",College Avenue,31,42.397585,-71.121263,Brown,Brown,12,0.3706,Brown,0.3706,0.0,False,False,0.3706,0.6376,0.6496,1.2171,1.3217,1.7241,1.9417,West Somerville,Kennedy,0.6376,0.012,True
"46 College Avenue, Somerville MA 02144",College Avenue,46,42.398074,-71.121171,Brown,Brown,11,0.3693,Brown,0.3693,0.0,False,False,0.3693,0.6658,0.621,1.2245,1.3175,1.7463,1.9469,West Somerville,West Somerville,0.621,0.0,False
"61 College Avenue, Somerville MA 02144",College Avenue,61,42.398557,-71.12111,Brown,Brown,10,0.3725,Brown,0.3725,0.0,False,False,0.3725,0.6947,0.5925,1.2341,1.3158,1.7695,1.954,West Somerville,West Somerville,0.5925,0.0,False
"76 College Avenue, Somerville MA 02144",College Avenue,76,42.399068,-71.120583,Brown,Brown,10,0.3569,Brown,0.3569,0.0,False,False,0.3569,0.7169,0.575,1.2236,1.2914,1.7796,1.9399,West Somerville,West Somerville,0.575,0.0,False
"91 College Avenue, Somerville MA 02144",College Avenue,91,42.399395,-71.119342,Brown,Brown,8,0.3081,Brown,0.3081,0.0,False,False,0.3081,0.7184,0.5925,1.1765,1.2304,1.7585,1.8882,West Somerville,West Somerville,0.5925,0.0,False
"106 College Avenue, Somerville MA 02144",College Avenue,106,42.399753,-71.118881,Brown,Brown,8,0.3008,Brown,0.3008,0.0,False,False,0.3008,0.7364,0.5883,1.1672,1.2099,1.7645,1.8752,West Somerville,West Somerville,0.5883,0.0,False
"121 College Avenue, Somerville MA 02144",College Avenue,121,42.40046,-71.117659,Brown,Brown,10,0.2868,Brown,0.2868,0.0,False,False,0.2868,0.7727,0.5978,1.1382,1.1556,1.7695,1.8365,West Somerville,West Somerville,0.5978,0.0,False
"136 College Avenue, Somerville MA 02144",College Avenue,136,42.400671,-71.117412,Brown,Brown,10,0.2904,Brown,0.2904,0.0,False,False,0.2904,0.7855,0.598,1.1355,1.1459,1.7749,1.8309,West Somerville,West Somerville,0.598,0.0,False
"143 College Avenue, Somerville MA 02144",College Avenue,143,42.401549,-71.116517,Brown,Brown,10,0.3201,Brown,0.3201,0.0,False,False,0.3201,0.8418,0.5996,1.133,1.1146,1.8028,1.8158,West Somerville,West Somerville,0.5996,0.0,False
"1 Elm Court, Somerville MA 02144",Elm Court,1,42.396831,-71.121122,Brown,Brown,12,0.3643,Brown,0.3643,0.0,False,False,0.3643,0.5883,0.7003,1.1938,1.3154,1.6808,1.9208,West Somerville,Kennedy,0.5883,0.112,True
"6 Elm Court, Somerville MA 02144",Elm Court,6,42.396736,-71.121372,Brown,Brown,12,0.3777,Brown,0.3777,0.0,False,False,0.3777,0.5889,0.7015,1.204,1.3284,1.6848,1.9315,West Somerville,Kennedy,0.5889,0.1126,True
"16 Ellington Road, Somerville MA 02144",Ellington Road,16,42.395451,-71.119509,Brown,Brown,10,0.3084,Brown,0.3084,0.0,False,False,0.3084,0.4657,0.8211,1.0888,1.2406,1.5549,1.8184,Kennedy,Kennedy,0.4657,0.0,False
"31 Ellington Road, Somerville MA 02144",Ellington Road,31,42.395902,-71.119525,Brown,Brown,10,0.2976,Brown,0.2976,0.0,False,False,0.2976,0.4942,0.7927,1.0974,1.2382,1.5784,1.8262,Kennedy,Kennedy,0.4942,0.0,False
"32 Ellington Road, Somerville MA 02144",Ellington Road,32,42.395698,-71.119666,Brown,Brown,10,0.3091,Brown,0.3091,0.0,False,False,0.3091,0.4845,0.8022,1.1007,1.2467,1.5729,1.8299,Kennedy,Kennedy,0.4845,0.0,False
"4 Foskett Street, Somerville MA 02145",Foskett Street,4,42.396772,-71.115255,Brown,Brown,3,0.0733,Brown,0.0733,0.0,False,False,0.0733,0.5104,0.8652,0.9109,1.0165,1.4896,1.6319,Kennedy,Kennedy,0.5104,0.0,False
"19 Foskett Street, Somerville MA 02145",Foskett Street,19,42.397043,-71.115825,Brown,Brown,4,0.0943,Brown,0.0943,0.0,False,False,0.0943,0.5291,0.832,0.945,1.0448,1.5215,1.6653,Kennedy,Kennedy,0.5291,0.0,False
"34 Foskett Street, Somerville MA 02145",Foskett Street,34,42.397639,-71.116558,Brown,Brown,5,0.1321,Brown,0.1321,0.0,False,False,0.1321,0.5725,0.7763,0.9958,1.0817,1.5768,1.7136,Kennedy,Kennedy,0.5725,0.0,False
"49 Foskett Street, Somerville MA 02145",Foskett Street,49,42.397363,-71.116677,Brown,Brown,5,0.1361,Brown,0.1361,0.0,False,False,0.1361,0.5542,0.7871,0.9936,1.0878,1.5648,1.7134,Kennedy,Kennedy,0.5542,0.0,False
"52 Foskett Street, Somerville MA 02145",Foskett Street,52,42.397565,-71.117159,Brown,Brown,6,0.1617,Brown,0.1617,0.0,False,False,0.1617,0.5711,0.7607,1.0217,1.1123,1.5906,1.7411,Kennedy,Kennedy,0.5711,0.0,False
