address,street,endpoint,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"7 Francesca Avenue, Somerville MA 02144","Francesca Avenue",start,42.398765,-71.119508,1,rooftop,"7 Francesca Ave",,"Somerville, MA 02144",,7,"Francesca Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usngsge969jrzga99xd7w2pg7vvyb,building_centroid
"58 Francesca Avenue, Somerville MA 02144","Francesca Avenue",end,42.398194,-71.117201,1,rooftop,"58 Francesca Ave",,"Somerville, MA 02144",,58,"Francesca Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usngsge969jrzga9e48vdvh95v6z5,building_centroid
"45 Grove Street, Somerville MA 02144","Grove Street",start,42.396341,-71.11992,1,rooftop,"45 Grove St",,"Somerville, MA 02144",,45,"Grove St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnew7jlk4twtkf8k3qcmsdehpfgg,building_centroid
"65 Grove Street, Somerville MA 02144","Grove Street",end,42.396904,-71.119568,1,rooftop,"65 Grove St",,"Somerville, MA 02144",,65,"Grove St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnew7jlk4twtkf8lh3ns5sdzqgc2,building_centroid
"5 Hall Avenue, Somerville MA 02144","Hall Avenue",start,42.398357,-71.12056,1,rooftop,"5 Hall Ave",,"Somerville, MA 02144",,5,"Hall Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3v3lu7qjqtn8hnz783bb6zmsxa,building_centroid
"73 Hall Avenue, Somerville MA 02144","Hall Avenue",end,42.397366,-71.117755,1,rooftop,"73 Hall Ave",,"Somerville, MA 02144",,73,"Hall Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3v3lu7qjqtn8h5wfkpjrprxck6,building_centroid
"219 Highland Avenue, Somerville MA 02144","Highland Avenue",start,42.390438,-71.107967,1,rooftop,"219 Highland Ave",,"Somerville, MA 02143",,219,"Highland Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnv73yttdzbk39dlpdxgtwybrtw2,building_centroid
"407 Highland Avenue, Somerville MA 02144","Highland Avenue",end,42.396263,-71.121089,1,rooftop,"407 Highland Ave",,"Somerville, MA 02144",,407,"Highland Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnv73yttdzbk39d2evk6s3ar39db,building_centroid
"2 Highland Road, Somerville MA 02144","Highland Road",start,42.394982,-71.113835,1,rooftop,"2 Highland Rd",,"Somerville, MA 02144",,2,"Highland Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnth2zuc7g86csfuah3a4pu66zy4,building_centroid
"140 Highland Road, Somerville MA 02144","Highland Road",end,42.398894,-71.111242,1,rooftop,"140 Highland Rd",,"Somerville, MA 02144",,140,"Highland Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnth2zuc7g86csfaygd8db95sej2,building_centroid
