address,street,num,school,range_low,range_high,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"74 Beech Street, Somerville MA","Beech Street",74,ARGENZIANO,1,99,42.384294,-71.107363,1,range_interpolation,"74 Beech St",,"Somerville, MA 02143",,74,"Beech St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnvz386wvfvb67halkv6smpnq3s4,
"1 Berkeley Street, Somerville MA","Berkeley Street",1,ARGENZIANO,1,99,42.385738,-71.099917,0.91,nearest_rooftop_match,"5 Berkeley St",,"Somerville, MA 02143",,5,"Berkeley St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnrhwwrfvrf85jbzxpeum8bn4qhh,building_centroid
"26 Berkeley Street, Somerville MA","Berkeley Street",26,ARGENZIANO,1,99,42.385934,-71.101303,1,rooftop,"26 Berkeley St",,"Somerville, MA 02143",,26,"Berkeley St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnrhwwrfvrf85jbdchrllsbthada,building_centroid
"50 Berkeley Street, Somerville MA","Berkeley Street",50,ARGENZIANO,1,99,42.386607,-71.102294,1,range_interpolation,"50 Berkeley St",,"Somerville, MA 02143",,50,"Berkeley St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnrhwwrfvrf85jbn78fnmplm3c4b,
"74 Berkeley Street, Somerville MA","Berkeley Street",74,ARGENZIANO,1,99,42.386954,-71.10326,1,range_interpolation,"74 Berkeley St",,"Somerville, MA 02143",,74,"Berkeley St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnrhwwrfvrf85jbs34hvzerj6cvh,
"1 Bigelow Street, Somerville MA","Bigelow Street",1,ARGENZIANO,1,99,42.382626,-71.093796,0.91,nearest_rooftop_match,"5 Bigelow St",,"Somerville, MA 02143",,5,"Bigelow St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnc75y8f4g3zktcg5vhkex84bem2,building_centroid
"26 Bigelow Street, Somerville MA","Bigelow Street",26,ARGENZIANO,1,99,42.38273,-71.093708,1,range_interpolation,"26 Bigelow St",,"Somerville, MA 02143",,26,"Bigelow St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnc75y8f4g3zktcsd25dwmr2udk3,
"50 Bigelow Street, Somerville MA","Bigelow Street",50,ARGENZIANO,1,99,42.382586,-71.093821,1,range_interpolation,"50 Bigelow St",,"Somerville, MA 02143",,50,"Bigelow St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnc75y8f4g3zktc5hz6b2hylygph,
"74 Bigelow Street, Somerville MA","Bigelow Street",74,ARGENZIANO,1,99,42.382442,-71.093935,1,range_interpolation,"74 Bigelow St",,"Somerville, MA 02143",,74,"Bigelow St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnc75y8f4g3zktc7hlully6tnqm3,
"1 Bolton Street, Somerville MA","Bolton Street",1,ARGENZIANO,1,99,42.375456,-71.097857,1,range_interpolation,"1 Bolton St",,"Somerville, MA 02143",,1,"Bolton St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnvxup8fs4cdsyaxe5gmvtmqsn2g,
"26 Bolton Street, Somerville MA","Bolton Street",26,ARGENZIANO,1,99,42.374877,-71.097991,1,rooftop,"26 Bolton St",,"Somerville, MA 02143",,26,"Bolton St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnvxup8fs4cdsyaltwmvg9hg33tc,building_centroid
"50 Bolton Street, Somerville MA","Bolton Street",50,ARGENZIANO,1,99,42.374923,-71.09805,1,range_interpolation,"50 Bolton St",,"Somerville, MA 02143",,50,"Bolton St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnvxup8fs4cdsyaxlyqlp6u6uvnd,
"74 Bolton Street, Somerville MA","Bolton Street",74,ARGENZIANO,1,99,42.375149,-71.09788,1,range_interpolation,"74 Bolton St",,"Somerville, MA 02143",,74,"Bolton St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnvxup8fs4cdsya62tux256ar8zh,
"1 Bonner Avenue, Somerville MA","Bonner Avenue",1,ARGENZIANO,1,99,42.380086,-71.093971,0.89,nearest_rooftop_match,"10 Bonner Ave",,"Somerville, MA 02143",,10,"Bonner Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnedzjm7wmr3s43b6tck4r3bfz7h,building_centroid
"26 Bonner Avenue, Somerville MA","Bonner Avenue",26,ARGENZIANO,1,99,42.380722,-71.093769,1,rooftop,"26 Bonner Ave",,"Somerville, MA 02143",,26,"Bonner Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnedzjm7wmr3s43uch826gkkuklg,building_centroid
"50 Bonner Avenue, Somerville MA","Bonner Avenue",50,ARGENZIANO,1,99,42.380347,-71.093551,1,range_interpolation,"50 Bonner Ave",,"Somerville, MA 02143",,50,"Bonner Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnedzjm7wmr3s43raulwxanj5dc2,
"74 Bonner Avenue, Somerville MA","Bonner Avenue",74,ARGENZIANO,1,99,42.380488,-71.093496,1,range_interpolation,"74 Bonner Ave",,"Somerville, MA 02143",,74,"Bonner Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnedzjm7wmr3s43wr25sxkd8ddvb,
"1 Boston Street, Somerville MA","Boston Street",1,ARGENZIANO,1,99,42.380337,-71.090559,0.94,nearest_rooftop_match,"3 Boston St",,"Somerville, MA 02143",,3,"Boston St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnetxarccu8q3majybnplvzbaqf6,building_centroid
