address,street,num,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"151 Boston Avenue, Somerville MA 02144","Boston Avenue",151,42.399248,-71.110928,1,rooftop,"151 Boston Ave",,"Somerville, MA 02144",,151,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnnlkrc6t9faen3jvy88wxt6r7gb,building_centroid
"158 Boston Avenue, Somerville MA 02144","Boston Avenue",158,42.399248,-71.111415,1,rooftop,"158 Boston Ave",,"Somerville, MA 02144",,158,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnnlkrc6t9faen3sah9wqz9hknv9,building_centroid
"87 Bristol Road, Somerville MA 02145","Bristol Road",87,42.400742,-71.113458,0.95,rooftop,"87 Bristol Rd",,"Medford, MA 02155",,87,"Bristol Rd",,,Medford,MA,,"Middlesex County",02155,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8ugrwjjqeyl5f6pefr4rnhlpm7,building_centroid
"102 Bristol Road, Somerville MA 02145","Bristol Road",102,42.400092,-71.112711,1,range_interpolation,"102 Bristol Rd",,"Somerville, MA 02144",,102,"Bristol Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnunxdul9grp6ncrx958afwc56gg,
"108 Bristol Road, Somerville MA 02145","Bristol Road",108,42.400239,-71.112549,1,rooftop,"108 Bristol Rd",,"Somerville, MA 02144",,108,"Bristol Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnunxdul9grp6ncgq2yy3y97st2g,building_centroid
"585 Broadway, Somerville MA 02144",Broadway,585,42.398499,-71.108497,1,range_interpolation,"585 Broadway",,"Somerville, MA 02145",,585,Broadway,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn7nf8e4zglqcw7zgrjf4eybarxe,
"600 Broadway, Somerville MA 02144",Broadway,600,42.398513,-71.108838,1,rooftop,"600 Broadway",,"Somerville, MA 02145",,600,Broadway,,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn7nf8e4zglqcw7rhe9hytl6al59,building_centroid
"615 Broadway, Somerville MA 02144",Broadway,615,42.398623,-71.108866,1,range_interpolation,"615 Broadway",,"Somerville, MA 02145",,615,Broadway,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn7nf8e4zglqcw77sshcr88txkuf,
"630 Broadway, Somerville MA 02144",Broadway,630,42.399018,-71.109103,1,range_interpolation,"630 Broadway",,"Somerville, MA 02145",,630,Broadway,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn7nf8e4zglqcw7jp8y5l39mf6y2,
"645 Broadway, Somerville MA 02144",Broadway,645,42.398746,-71.109235,1,range_interpolation,"645 Broadway",,"Somerville, MA 02145",,645,Broadway,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn7nf8e4zglqcw7wxtum2dwmz3b9,
